Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
[No author name available],[No author id available],"Classroom notes",1937,"Science Education","21","4",,"199","200",,,"10.1002/sce.3730210407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980189920&doi=10.1002%2fsce.3730210407&partnerID=40&md5=e6799ad4c8d444ffc1a7385adbbd7183",,"",[No abstract available],,,,,,,00368326,,,,"English","Sci. Educ.",Note,,Scopus,2-s2.0-84980189920
"Hatch R.W.","56914007100;","B.–for social science",1937,"Science Education","21","2",,"71","76",,,"10.1002/sce.3730210204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944822032&doi=10.1002%2fsce.3730210204&partnerID=40&md5=74aaf356f7f497a476aade45da114262","Montclair State Teachers College, Montclair, New Jersey, United States","Hatch, R.W., Montclair State Teachers College, Montclair, New Jersey, United States",[No abstract available],,,,"Hatch, R.W.; Montclair State Teachers College, Montclair, New Jersey, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944822032
[No author name available],[No author id available],"Classroom notes",1937,"Science Education","21","2",,"98","102",,,"10.1002/sce.3730210208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944823396&doi=10.1002%2fsce.3730210208&partnerID=40&md5=e975a8647b6aeb768026bd33e9fe912f",,"",[No abstract available],,,,,,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944823396
"Hultz H.L.","56914463600;","Mushrooms: A third‐grade project",1937,"Science Education","21","1",,"17","21",,,"10.1002/sce.3730210106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944821122&doi=10.1002%2fsce.3730210106&partnerID=40&md5=972a8e3ba16dd0fa2276ca3c526564e1","Fox Meadow Elementary School, Scarsdale, New York, United States","Hultz, H.L., Fox Meadow Elementary School, Scarsdale, New York, United States",[No abstract available],,,,"Hultz, H.L.; Fox Meadow Elementary School, Scarsdale, New York, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944821122
"Richardson R.S.","36346095300;","Radio fade‐outs and solar eruptions",1937,"Science Education","21","4",,"193","198",,,"10.1002/sce.3730210406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980138046&doi=10.1002%2fsce.3730210406&partnerID=40&md5=02b38369918a3222eed72547acc7a91a","Mount Wilson Observatory, Carnegie Institution of Washington, United States","Richardson, R.S., Mount Wilson Observatory, Carnegie Institution of Washington, United States",[No abstract available],,,,"Richardson, R.S.; Mount Wilson Observatory, Carnegie Institution of WashingtonUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84980138046
"Taylor A.M.","57190473948;","Teaching beginning zoology without dissection",1937,"Science Education","21","5",,"245","248",,1,"10.1002/sce.3730210506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980172217&doi=10.1002%2fsce.3730210506&partnerID=40&md5=8fd78452982f48b1e5a445a754f61b9d","Lake Erie College, Painesville, Ohio, United States","Taylor, A.M., Lake Erie College, Painesville, Ohio, United States",[No abstract available],,,,"Taylor, A.M.; Lake Erie College, Painesville, Ohio, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84980172217
"Bruner W.E.","57190478237;","Biology on the air",1937,"Science Education","21","4",,"181","185",,,"10.1002/sce.3730210404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980134455&doi=10.1002%2fsce.3730210404&partnerID=40&md5=e9946d7c2e2a372b34ebde7ab6b1a042","Nebraska State Teachers College, Kearney, Nebraska, United States","Bruner, W.E., Nebraska State Teachers College, Kearney, Nebraska, United States",[No abstract available],,,,"Bruner, W.E.; Nebraska State Teachers College, Kearney, Nebraska, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84980134455
[No author name available],[No author id available],"Classroom notes",1937,"Science Education","21","5",,"249","250",,,"10.1002/sce.3730210507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980187281&doi=10.1002%2fsce.3730210507&partnerID=40&md5=860464d2f3c4dbbea4227b9978ef05d7",,"",[No abstract available],,,,,,,00368326,,,,"English","Sci. Educ.",Note,,Scopus,2-s2.0-84980187281
"Goldstein P.","57190479826;","Student laboratory work versus teacher demonstration as a means of developing laboratory resourcefulness",1937,"Science Education","21","4",,"185","193",,1,"10.1002/sce.3730210405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980166921&doi=10.1002%2fsce.3730210405&partnerID=40&md5=4db80cbeb3e4e97bfd9bd37061ee8623","Seward Park High School, New York City, United States","Goldstein, P., Seward Park High School, New York City, United States",[No abstract available],,,,"Goldstein, P.; Seward Park High School, New York City, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84980166921
"Lawrence A., JR.","56913728600;","The origin of effective learning",1937,"Science Education","21","1",,"21","24",,,"10.1002/sce.3730210107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944823424&doi=10.1002%2fsce.3730210107&partnerID=40&md5=ec8e6bb98d9788a31228f1ce4a8b2cb0","Syracuse University, Syracuse, New York, United States","Lawrence, A., JR., Syracuse University, Syracuse, New York, United States",[No abstract available],,,,"Lawrence, A.; Syracuse University, Syracuse, New York, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944823424
"Oerlein K.F.","23083142700;","Mathematical requirements for the first courses in general college physics",1937,"Science Education","21","5",,"241","245",,,"10.1002/sce.3730210505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980170862&doi=10.1002%2fsce.3730210505&partnerID=40&md5=db50c2f1cd1c8d0c5789daa285635f52","Department of Physics, State Teachers College, Indiana, Pennsylvania, United States","Oerlein, K.F., Department of Physics, State Teachers College, Indiana, Pennsylvania, United States",[No abstract available],,,,"Oerlein, K.F.; Department of Physics, State Teachers College, Indiana, Pennsylvania, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84980170862
"Whitman W.G.","56914043700;","Home‐made apparatus for an automatic fire alarm",1936,"Science Education","20","3",,"163","164",,,"10.1002/sce.3730200310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944813940&doi=10.1002%2fsce.3730200310&partnerID=40&md5=eb4b707fdb69c3ff4789c4ee6d621718","State Teachers College, Salem, Massachusetts, United States","Whitman, W.G., State Teachers College, Salem, Massachusetts, United States",[No abstract available],,,,"Whitman, W.G.; State Teachers College, Salem, Massachusetts, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944813940
"Hodge V.","56914125500;","A unified science curriculum",1936,"Science Education","20","4",,"193","196",,,"10.1002/sce.3730200403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944813843&doi=10.1002%2fsce.3730200403&partnerID=40&md5=967d362da66409483c8d2ea8b7f005f8","Manual Arts High School, Los Angeles, United States","Hodge, V., Manual Arts High School, Los Angeles, United States",[No abstract available],,,,"Hodge, V.; Manual Arts High School, Los Angeles, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944813843
"Garvey M.L.","56913955600;","Shadows are like clocks and calendars",1936,"Science Education","20","4",,"196","199",,,"10.1002/sce.3730200404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944813259&doi=10.1002%2fsce.3730200404&partnerID=40&md5=b7a96e9e2aec47b9f127401a9874894d","Fuller School, Minneapolis, Minnesota, United States","Garvey, M.L., Fuller School, Minneapolis, Minnesota, United States",[No abstract available],,,,"Garvey, M.L.; Fuller School, Minneapolis, Minnesota, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944813259
"Hadsall L.F.","56914580200;","The extension activities of certain publicly supported institutions in assisting teachers in service in elementary science or nature study",1936,"Science Education","20","1",,"7","11",,,"10.1002/sce.3730200104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944824402&doi=10.1002%2fsce.3730200104&partnerID=40&md5=a27191dcb10c74769973b3ada28e4964","Fresno State Teachers College, Fresno, California, United States","Hadsall, L.F., Fresno State Teachers College, Fresno, California, United States",[No abstract available],,,,"Hadsall, L.F.; Fresno State Teachers College, Fresno, California, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944824402
"Downing E.R., Bay W.","23082696700;56914190000;","Some results of a test on scientific thinking",1936,"Science Education","20","3",,"121","128",,1,"10.1002/sce.3730200302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944813678&doi=10.1002%2fsce.3730200302&partnerID=40&md5=d09c69ede880c21a35b4e5bd9c7bfe74","Wisconsin, United States","Downing, E.R., Wisconsin, United States; Bay, W., Wisconsin, United States",[No abstract available],,,,"Downing, E.R., Wisconsin, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944813678
"Caldwell O.W.","23082610800;","Regarding attitudes",1936,"Science Education","20","4",,"207","211",,1,"10.1002/sce.3730200406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934468139&doi=10.1002%2fsce.3730200406&partnerID=40&md5=82e5bd736b2ca17de5ac4d03c9475832","A.A.A.S, Boyce Thompson Institute, Yonkers, New York, United States","Caldwell, O.W., A.A.A.S, Boyce Thompson Institute, Yonkers, New York, United States",[No abstract available],,,,"Caldwell, O.W.; A.A.A.S, Boyce Thompson Institute, Yonkers, New York, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84934468139
"Winokur M.","56914163400;","A survey of generalized science courses in institutions of higher education",1936,"Science Education","20","3",,"132","140",,,"10.1002/sce.3730200304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944816646&doi=10.1002%2fsce.3730200304&partnerID=40&md5=823e5b1cf91965d7da379409f574715f","College of the City of New York, New York, United States","Winokur, M., College of the City of New York, New York, United States",[No abstract available],,,,"Winokur, M.; College of the City of New York, New York, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944816646
"Stirton W.E.","56914344900;","A group‐individual project in refraction",1936,"Science Education","20","3",,"164","167",,,"10.1002/sce.3730200311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944815511&doi=10.1002%2fsce.3730200311&partnerID=40&md5=161259de130bbda3cdf312e7cc5657d8","Cass Technical High School, Detroit, Michigan, United States","Stirton, W.E., Cass Technical High School, Detroit, Michigan, United States",[No abstract available],,,,"Stirton, W.E.; Cass Technical High School, Detroit, Michigan, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944815511
"Caldwell O.W.","23082610800;","A summary of investigations regarding super‐stitions and other unfounded beliefs",1936,"Science Education","20","1",,"1","4",,,"10.1002/sce.3730200102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944813451&doi=10.1002%2fsce.3730200102&partnerID=40&md5=fb4000192b125b89d0eb241e5d8362f7","American Association for the Advancement of Science, United States","Caldwell, O.W., American Association for the Advancement of Science, United States",[No abstract available],,,,"Caldwell, O.W.; American Association for the Advancement of ScienceUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944813451
"Orsborn H.D.","56914455500;","Biology enrollment and curriculum placement in california secondary schools",1936,"Science Education","20","4",,"214","216",,,"10.1002/sce.3730200408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944813132&doi=10.1002%2fsce.3730200408&partnerID=40&md5=3f585cbe4b6148f454e0e3ff0628a9db","High School, South Pasadena, California, United States","Orsborn, H.D., High School, South Pasadena, California, United States",[No abstract available],,,,"Orsborn, H.D.; High School, South Pasadena, California, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944813132
"Compton K.T.","56914061300;","Science in education",1936,"Science Education","20","2",,"53","55",,,"10.1002/sce.3730200202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944823418&doi=10.1002%2fsce.3730200202&partnerID=40&md5=8e9e714fd23112c953f60a5c79db3008","American Association for the Advancement of Science, United States","Compton, K.T., American Association for the Advancement of Science, United States",[No abstract available],,,,"Compton, K.T.; American Association for the Advancement of ScienceUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944823418
"Johnson P.O.","55475415200;","Concomitant learning in human biology",1936,"Science Education","20","1",,"11","17",,,"10.1002/sce.3730200105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944811846&doi=10.1002%2fsce.3730200105&partnerID=40&md5=9761c32d4ad56d2165f0ecf378856815","University of Minnesota, Minneapolis, Minnesota, United States","Johnson, P.O., University of Minnesota, Minneapolis, Minnesota, United States",[No abstract available],,,,"Johnson, P.O.; University of Minnesota, Minneapolis, Minnesota, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944811846
"Dunbar R.E., Tussing L.","16050279300;56914538400;","Questionnaire study of student expectancy from a course in general chemistry",1936,"Science Education","20","2",,"75","77",,,"10.1002/sce.3730200208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944828907&doi=10.1002%2fsce.3730200208&partnerID=40&md5=b1f93bbf0ee0adcc804897e8c4cf1a4d","Dakota Wesleyan University, Mitchell, South Dakota, United States","Dunbar, R.E., Dakota Wesleyan University, Mitchell, South Dakota, United States; Tussing, L., Dakota Wesleyan University, Mitchell, South Dakota, United States",[No abstract available],,,,"Dunbar, R.E.; Dakota Wesleyan University, Mitchell, South Dakota, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944828907
"Allen H.P.","56913737900;","A student investigation of trap‐door spiders",1936,"Science Education","20","4",,"217","219",,,"10.1002/sce.3730200409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944815678&doi=10.1002%2fsce.3730200409&partnerID=40&md5=4b33df6dd0d776a1cfebcf774f80c901","Claretnont Colleges, Claremont, California, United States","Allen, H.P., Claretnont Colleges, Claremont, California, United States",[No abstract available],,,,"Allen, H.P.; Claretnont Colleges, Claremont, California, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944815678
"Noll V.H.","16051441300;","Teaching science for the purpose of influencing behavior",1936,"Science Education","20","1",,"17","20",,1,"10.1002/sce.3730200106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944825277&doi=10.1002%2fsce.3730200106&partnerID=40&md5=ae92d167bc88dcbf15a4bda0d1e00a0a","Rhode Island State College, United States","Noll, V.H., Rhode Island State College, United States",[No abstract available],,,,"Noll, V.H.; Rhode Island State CollegeUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944825277
"Fitzpatrick F.L.","56913994200;","Some techniques in microprojection",1936,"Science Education","20","2",,"65","67",,,"10.1002/sce.3730200205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944824400&doi=10.1002%2fsce.3730200205&partnerID=40&md5=2703fe59f22ccc1becae693592123cac","Teachers College, Columbia University, United States","Fitzpatrick, F.L., Teachers College, Columbia University, United States",[No abstract available],,,,"Fitzpatrick, F.L.; Teachers College, Columbia UniversityUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944824400
"Pruitt C.M.","16051491300;","Science reading materials for pupils and teachers",1936,"Science Education","20","2",,"83","99",,,"10.1002/sce.3730200210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944824434&doi=10.1002%2fsce.3730200210&partnerID=40&md5=f6ded2ca34c9a82296eb83d22dfd3493","Colorado State College of Education, Greeley, Colorado, United States","Pruitt, C.M., Colorado State College of Education, Greeley, Colorado, United States",[No abstract available],,,,"Pruitt, C.M.; Colorado State College of Education, Greeley, Colorado, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944824434
"Wise H.E.","56913984300;","An integration of physics and chemistry",1936,"Science Education","20","2",,"68","72",,,"10.1002/sce.3730200206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944823427&doi=10.1002%2fsce.3730200206&partnerID=40&md5=1b0544cf0f00994de8537e7b537995ab","Teachers College High School, University of Nebraska, Lincoln, Nebraska, United States","Wise, H.E., Teachers College High School, University of Nebraska, Lincoln, Nebraska, United States",[No abstract available],,,,"Wise, H.E.; Teachers College High School, University of Nebraska, Lincoln, Nebraska, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944823427
"Duel H.W.","56914336800;","The effect of a shortened class‐period upon achievement in high‐school physics",1936,"Science Education","20","3",,"157","159",,,"10.1002/sce.3730200308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944811543&doi=10.1002%2fsce.3730200308&partnerID=40&md5=821a5e13ba59bccb4497c1a94153dd52","West High School, Minneapolis, United States","Duel, H.W., West High School, Minneapolis, United States",[No abstract available],,,,"Duel, H.W.; West High School, Minneapolis, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944811543
"Hurd A.W.","36732738700;","What factors make for good or poor achievement in science?",1936,"Science Education","20","1",,"4","7",,,"10.1002/sce.3730200103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944819735&doi=10.1002%2fsce.3730200103&partnerID=40&md5=99e89e6189f9bf74a18efeba4b048424","Northern Montana College, Havre, Montana, United States","Hurd, A.W., Northern Montana College, Havre, Montana, United States",[No abstract available],,,,"Hurd, A.W.; Northern Montana College, Havre, Montana, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944819735
"Cunningham H.A.","56914047600;","Curriculum analysis as a basis for determining science rooms, service, and furnishings in teachers colleges",1936,"Science Education","20","3",,"151","156",,,"10.1002/sce.3730200307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944818104&doi=10.1002%2fsce.3730200307&partnerID=40&md5=ad1776382e001120e067e8838109d5bc","Kent State College, Kent, Ohio, United States","Cunningham, H.A., Kent State College, Kent, Ohio, United States",[No abstract available],,,,"Cunningham, H.A.; Kent State College, Kent, Ohio, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944818104
"Pinkus L.F.","56914597300;","Movable diagrams",1936,"Science Education","20","3",,"167","168",,,"10.1002/sce.3730200312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944814203&doi=10.1002%2fsce.3730200312&partnerID=40&md5=e004f2c9a5b52a6a34e43978859eb9f4","St. Louis Public Schools, St Louis, Missouri, United States","Pinkus, L.F., St. Louis Public Schools, St Louis, Missouri, United States",[No abstract available],,,,"Pinkus, L.F.; St. Louis Public Schools, St Louis, Missouri, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944814203
"Magruder M.V.","56914372000;","An experiment in the teaching of the principle of photosynthesis",1936,"Science Education","20","3",,"146","150",,,"10.1002/sce.3730200306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944812211&doi=10.1002%2fsce.3730200306&partnerID=40&md5=f23d6e95356c1ed414ce8800d5521623","Western High School, Washington, District of Columbia, United States","Magruder, M.V., Western High School, Washington, District of Columbia, United States",[No abstract available],,,,"Magruder, M.V.; Western High School, Washington, District of Columbia, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944812211
"Bruce G.V.","56914034600;","Elementary school science references and instructional materials",1936,"Science Education","20","2",,"78","82",,,"10.1002/sce.3730200209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944819754&doi=10.1002%2fsce.3730200209&partnerID=40&md5=80c3c5fe34674604bd214180c227a997","New Jersey State Teachers College, Newark, New Jersey, United States","Bruce, G.V., New Jersey State Teachers College, Newark, New Jersey, United States",[No abstract available],,,,"Bruce, G.V.; New Jersey State Teachers College, Newark, New Jersey, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944819754
"Bayles E.E.","36957827300;","The problem of testing",1936,"Science Education","20","1",,"20","24",,,"10.1002/sce.3730200107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944819736&doi=10.1002%2fsce.3730200107&partnerID=40&md5=77bae74c2308a7aaa7431710c3b4b06c","The University of Kansas, United States","Bayles, E.E., The University of Kansas, United States",[No abstract available],,,,"Bayles, E.E.; The University of KansasUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944819736
"Alpern M.L.","56914078200;","A comparative study of the effectiveness of student‐made and prepared drawings in college laboratory work in biology",1936,"Science Education","20","1",,"24","30",,1,"10.1002/sce.3730200108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944823420&doi=10.1002%2fsce.3730200108&partnerID=40&md5=25f1fdbac3c9125a645bde2b21385d66","College of the City of New York, New York, United States","Alpern, M.L., College of the City of New York, New York, United States",[No abstract available],,,,"Alpern, M.L.; College of the City of New York, New York, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944823420
"Douglass H.R., Fields G.H.","56914061000;56914010900;","An experimental comparison of the daily assignment‐daily recitation and a unit assignment in high‐school chemistry",1936,"Science Education","20","3",,"141","145",,,"10.1002/sce.3730200305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944813926&doi=10.1002%2fsce.3730200305&partnerID=40&md5=9fbadbcf4045bb49dc540bf5f1c4b28c","University of Minnesota, United States; West High School, Waterloo, Iowa, United States","Douglass, H.R., University of Minnesota, United States; Fields, G.H., West High School, Waterloo, Iowa, United States",[No abstract available],,,,"Douglass, H.R.; University of MinnesotaUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944813926
"Watkins R.K.","56913816900;","The preparation of high school science teachers in terms of the market",1936,"Science Education","20","2",,"56","60",,,"10.1002/sce.3730200203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944819734&doi=10.1002%2fsce.3730200203&partnerID=40&md5=4d299d108ba9d0a8495620b376edd804","School of Education, University of Missouri, United States","Watkins, R.K., School of Education, University of Missouri, United States",[No abstract available],,,,"Watkins, R.K.; School of Education, University of MissouriUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944819734
"Simmons M.P.","56913755500;","Changing conceptions of teaching helps in general science text books",1936,"Science Education","20","4",,"211","214",,,"10.1002/sce.3730200407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944818394&doi=10.1002%2fsce.3730200407&partnerID=40&md5=9d39df8c87c16b144a182a835a1de38a","Irvington High School, Irvington, New Jersey, United States","Simmons, M.P., Irvington High School, Irvington, New Jersey, United States",[No abstract available],,,,"Simmons, M.P.; Irvington High School, Irvington, New Jersey, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944818394
"Clausen R.G.","56914116600;","The plant‐animal community",1936,"Science Education","20","2",,"73","75",,,"10.1002/sce.3730200207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944821132&doi=10.1002%2fsce.3730200207&partnerID=40&md5=2e70e641197e3fbbe9b9f50a466997c9","New York State College, Albany, New York, United States","Clausen, R.G., New York State College, Albany, New York, United States",[No abstract available],,,,"Clausen, R.G.; New York State College, Albany, New York, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944821132
"Gruenberg B.C.","23082173500;","Light and smoke from the torch of science",1936,"Science Education","20","2",,"60","65",,,"10.1002/sce.3730200204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944821098&doi=10.1002%2fsce.3730200204&partnerID=40&md5=343cffd4d74cfc23d9e93aea3924fe9d","American Association for Adult Education, United States","Gruenberg, B.C., American Association for Adult Education, United States",[No abstract available],,,,"Gruenberg, B.C.; American Association for Adult EducationUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944821098
"Ullrich F.T.","56914168500;","Individualized and vitalized instruction in biology in teachers college",1936,"Science Education","20","4",,"189","192",,,"10.1002/sce.3730200402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944818282&doi=10.1002%2fsce.3730200402&partnerID=40&md5=1c297a199c01d0bc9afcf86f15541bc7","State Teachers College, Platteville, Wisconsin, United States","Ullrich, F.T., State Teachers College, Platteville, Wisconsin, United States",[No abstract available],,,,"Ullrich, F.T.; State Teachers College, Platteville, Wisconsin, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944818282
"Seguin H.","56914108200;","Building a nature trail as a summer school project",1936,"Science Education","20","3",,"160","162",,,"10.1002/sce.3730200309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944811676&doi=10.1002%2fsce.3730200309&partnerID=40&md5=1b8e2ff21bdb69d9f1f2de26ea5462f5","State Teachers College, Wisconsin, United States","Seguin, H., State Teachers College, Wisconsin, United States",[No abstract available],,,,"Seguin, H.; State Teachers College, Wisconsin, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944811676
"Blough G.O.","56914496500;","The Study of Bacteria in Grade Five",1936,"Science Education","20","3",,"129","131",,,"10.1002/sce.3730200303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944813082&doi=10.1002%2fsce.3730200303&partnerID=40&md5=41feb8bd573437c65389345e92f81def","Colorado State College of Education, Greeley, Colorado, United States","Blough, G.O., Colorado State College of Education, Greeley, Colorado, United States",[No abstract available],,,,"Blough, G.O.; Colorado State College of Education, Greeley, Colorado, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944813082
"Barnard J.D., Robertson M.L.","57188891162;56913691300;","A comparison of the relative effectiveness of two methods of teaching general science",1936,"Science Education","20","4",,"200","206",,,"10.1002/sce.3730200405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944824432&doi=10.1002%2fsce.3730200405&partnerID=40&md5=4b37bb471165c3224540c1fae4f22297","Colorado State College of Education, United States; New York University, New York, New York, United States","Barnard, J.D., Colorado State College of Education, United States; Robertson, M.L., New York University, New York, New York, United States",[No abstract available],,,,"Barnard, J.D.; Colorado State College of EducationUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944824432
"Hultz H.L.","56914463600;","Science for children",1935,"Science Education","19","2",,"56","60",,,"10.1002/sce.3730190203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944822019&doi=10.1002%2fsce.3730190203&partnerID=40&md5=d5cc02d0160598684219ec0f9edb98f9","Fox Meadow Elementary School, Scarsdale, New York, United States","Hultz, H.L., Fox Meadow Elementary School, Scarsdale, New York, United States",[No abstract available],,,,"Hultz, H.L.; Fox Meadow Elementary School, Scarsdale, New York, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944822019
"Kilander H.F.","56914362700;","An experiment to illustrate mendel's law",1935,"Science Education","19","2",,"70","72",,,"10.1002/sce.3730190206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944824408&doi=10.1002%2fsce.3730190206&partnerID=40&md5=cbfbeac48e0321eb7fb8adb41bea7245","Panser College, East Orange, New Jersey, United States","Kilander, H.F., Panser College, East Orange, New Jersey, United States",[No abstract available],,,,"Kilander, H.F.; Panser College, East Orange, New Jersey, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944824408
"Johnson P.G.","36516705300;","How could a national organization coordinate the activities of existing science teachers' associations?",1935,"Science Education","19","3",,"105","107",,,"10.1002/sce.3730190304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944811467&doi=10.1002%2fsce.3730190304&partnerID=40&md5=3d0448b7cb71452fef9a28f74542650e","The University of Nebraska, Lincoln, Nebraska, United States","Johnson, P.G., The University of Nebraska, Lincoln, Nebraska, United States",[No abstract available],,,,"Johnson, P.G.; The University of Nebraska, Lincoln, Nebraska, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84944811467
